run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-16_0126,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,24,5.9138,0.000030,0.492770
2026-04-16_0126,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,25,5.7977,0.445943,0.000021
2026-04-16_0126,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,22,6.3830,0.000021,0.580234
2026-04-16_0126,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,25,4.8515,0.373157,0.000023
2026-04-16_0126,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,22,6.1212,0.000021,0.556430
2026-04-16_0126,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,23,4.6302,0.385817,0.000021
2026-04-16_0126,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,22,5.4022,0.000021,0.491069
2026-04-16_0126,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,21,4.4619,0.405589,0.000021
2026-04-16_0126,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,22,6.2543,0.000024,0.568532
2026-04-16_0126,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,21,4.3022,0.391074,0.000021
2026-04-16_0126,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,24,4.9011,0.000021,0.408390
2026-04-16_0126,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,23,4.9022,0.408483,0.000021
2026-04-16_0126,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,24,6.0677,0.000021,0.505600
2026-04-16_0126,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,23,4.2104,0.350836,0.000021
2026-04-16_0126,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,22,6.2127,0.000021,0.564744
2026-04-16_0126,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,21,4.6132,0.419349,0.000022
2026-04-16_0126,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,22,5.7974,0.000024,0.526995
2026-04-16_0126,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,29,5.4751,0.364972,0.000021
2026-04-16_0126,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,22,5.7469,0.000021,0.522411
2026-04-16_0126,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,21,4.8703,0.442719,0.000021
2026-04-16_0126,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,22,6.1609,0.000021,0.560045
2026-04-16_0126,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,21,4.2194,0.383554,0.000021
2026-04-16_0126,Random,AlphaBeta,23,1,Random,AlphaBeta,red,AlphaBeta,22,6.0378,0.000021,0.548849
2026-04-16_0126,Random,AlphaBeta,24,0,AlphaBeta,Random,blue,AlphaBeta,21,5.0352,0.457714,0.000021
2026-04-16_0126,Random,AlphaBeta,25,1,Random,AlphaBeta,red,AlphaBeta,28,6.8743,0.000021,0.490976
2026-04-16_0126,Random,AlphaBeta,26,0,AlphaBeta,Random,blue,AlphaBeta,23,3.8930,0.324388,0.000020
2026-04-16_0126,Random,AlphaBeta,27,1,Random,AlphaBeta,red,AlphaBeta,22,6.1729,0.000021,0.561130
2026-04-16_0126,Random,AlphaBeta,28,0,AlphaBeta,Random,blue,AlphaBeta,21,3.7057,0.336856,0.000021
2026-04-16_0126,Random,AlphaBeta,29,1,Random,AlphaBeta,red,AlphaBeta,22,5.2464,0.000021,0.476907
2026-04-16_0126,Random,AlphaBeta,30,0,AlphaBeta,Random,blue,AlphaBeta,23,3.6623,0.305159,0.000020
2026-04-16_0126,Random,AlphaBeta,31,1,Random,AlphaBeta,red,AlphaBeta,24,6.7352,0.000022,0.561229
2026-04-16_0126,Random,AlphaBeta,32,0,AlphaBeta,Random,blue,AlphaBeta,21,3.7957,0.345030,0.000021
2026-04-16_0126,Random,AlphaBeta,33,1,Random,AlphaBeta,red,AlphaBeta,22,6.1740,0.000022,0.561231
2026-04-16_0126,Random,AlphaBeta,34,0,AlphaBeta,Random,blue,AlphaBeta,21,3.6205,0.329103,0.000021
2026-04-16_0126,Random,AlphaBeta,35,1,Random,AlphaBeta,red,AlphaBeta,22,6.5678,0.000025,0.597024
2026-04-16_0126,Random,AlphaBeta,36,0,AlphaBeta,Random,blue,AlphaBeta,23,4.4906,0.374183,0.000020
2026-04-16_0126,Random,AlphaBeta,37,1,Random,AlphaBeta,red,AlphaBeta,22,4.7598,0.000020,0.432671
2026-04-16_0126,Random,AlphaBeta,38,0,AlphaBeta,Random,blue,AlphaBeta,21,4.2679,0.387956,0.000021
2026-04-16_0126,Random,AlphaBeta,39,1,Random,AlphaBeta,red,AlphaBeta,24,6.7315,0.000021,0.560912
2026-04-16_0126,Random,AlphaBeta,40,0,AlphaBeta,Random,blue,AlphaBeta,21,4.1161,0.374161,0.000020
2026-04-16_0126,Random,AlphaBeta,41,1,Random,AlphaBeta,red,AlphaBeta,22,5.6276,0.000021,0.511564
2026-04-16_0126,Random,AlphaBeta,42,0,AlphaBeta,Random,blue,AlphaBeta,23,4.9681,0.413975,0.000021
2026-04-16_0126,Random,AlphaBeta,43,1,Random,AlphaBeta,red,AlphaBeta,26,6.8621,0.000021,0.527812
2026-04-16_0126,Random,AlphaBeta,44,0,AlphaBeta,Random,blue,AlphaBeta,29,6.1028,0.406821,0.000021
