run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-21_2347,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,22,5.5812,0.000032,0.507329
2026-04-21_2347,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,23,4.9087,0.409030,0.000022
2026-04-21_2347,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,22,6.1538,0.000022,0.559394
2026-04-21_2347,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,21,4.3863,0.398720,0.000021
2026-04-21_2347,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,22,5.3639,0.000022,0.487584
2026-04-21_2347,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,21,4.3474,0.395186,0.000021
2026-04-21_2347,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,22,5.3509,0.000021,0.486406
2026-04-21_2347,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,23,5.4797,0.456605,0.000022
2026-04-21_2347,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,22,5.5086,0.000025,0.500737
2026-04-21_2347,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,23,4.9438,0.411954,0.000022
2026-04-21_2347,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,22,6.1464,0.000022,0.558724
2026-04-21_2347,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,23,4.1453,0.345407,0.000022
2026-04-21_2347,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,22,4.9318,0.000022,0.448311
2026-04-21_2347,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,23,4.1558,0.346281,0.000022
2026-04-21_2347,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,26,6.4259,0.000023,0.494256
2026-04-21_2347,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,21,4.3910,0.399149,0.000022
2026-04-21_2347,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,22,6.5586,0.000023,0.596189
2026-04-21_2347,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,23,4.2820,0.356797,0.000027
2026-04-21_2347,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,22,6.1068,0.000022,0.555127
2026-04-21_2347,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,25,4.3610,0.335432,0.000021
2026-04-21_2347,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,24,5.5665,0.000021,0.463843
2026-04-21_2347,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,21,4.2550,0.386784,0.000022
2026-04-21_2347,Random,AlphaBeta,23,1,Random,AlphaBeta,red,AlphaBeta,28,6.8501,0.000022,0.489259
2026-04-21_2347,Random,AlphaBeta,24,0,AlphaBeta,Random,blue,AlphaBeta,21,4.2187,0.383483,0.000022
2026-04-21_2347,Random,AlphaBeta,25,1,Random,AlphaBeta,red,AlphaBeta,24,6.3962,0.000022,0.532976
2026-04-21_2347,Random,AlphaBeta,26,0,AlphaBeta,Random,blue,AlphaBeta,21,3.7239,0.338505,0.000022
2026-04-21_2347,Random,AlphaBeta,27,1,Random,AlphaBeta,red,AlphaBeta,24,5.6136,0.000022,0.467770
2026-04-21_2347,Random,AlphaBeta,28,0,AlphaBeta,Random,blue,AlphaBeta,25,4.4732,0.344057,0.000022
2026-04-21_2347,Random,AlphaBeta,29,1,Random,AlphaBeta,red,AlphaBeta,22,5.5864,0.000022,0.507815
2026-04-21_2347,Random,AlphaBeta,30,0,AlphaBeta,Random,blue,AlphaBeta,25,4.9302,0.379212,0.000023
2026-04-21_2347,Random,AlphaBeta,31,1,Random,AlphaBeta,red,AlphaBeta,22,4.8451,0.000022,0.440425
2026-04-21_2347,Random,AlphaBeta,32,0,AlphaBeta,Random,blue,AlphaBeta,21,4.3011,0.390975,0.000027
2026-04-21_2347,Random,AlphaBeta,33,1,Random,AlphaBeta,red,AlphaBeta,22,5.2422,0.000024,0.476523
2026-04-21_2347,Random,AlphaBeta,34,0,AlphaBeta,Random,blue,AlphaBeta,23,4.1306,0.344188,0.000024
2026-04-21_2347,Random,AlphaBeta,35,1,Random,AlphaBeta,red,AlphaBeta,22,6.8785,0.000029,0.625269
2026-04-21_2347,Random,AlphaBeta,36,0,AlphaBeta,Random,blue,AlphaBeta,23,4.8671,0.405561,0.000021
2026-04-21_2347,Random,AlphaBeta,37,1,Random,AlphaBeta,red,AlphaBeta,22,5.9146,0.000021,0.537648
2026-04-21_2347,Random,AlphaBeta,38,0,AlphaBeta,Random,blue,AlphaBeta,21,3.8685,0.351651,0.000022
2026-04-21_2347,Random,AlphaBeta,39,1,Random,AlphaBeta,red,AlphaBeta,22,5.4260,0.000021,0.493229
2026-04-21_2347,Random,AlphaBeta,40,0,AlphaBeta,Random,blue,AlphaBeta,21,3.2359,0.294139,0.000021
2026-04-21_2347,Random,AlphaBeta,41,1,Random,AlphaBeta,red,AlphaBeta,22,5.6128,0.000022,0.510216
2026-04-21_2347,Random,AlphaBeta,42,0,AlphaBeta,Random,blue,AlphaBeta,23,4.4508,0.370868,0.000021
2026-04-21_2347,Random,AlphaBeta,43,1,Random,AlphaBeta,red,AlphaBeta,26,6.2399,0.000021,0.479958
2026-04-21_2347,Random,AlphaBeta,44,0,AlphaBeta,Random,blue,AlphaBeta,21,3.8131,0.346617,0.000021
2026-04-21_2347,Random,AlphaBeta,45,1,Random,AlphaBeta,red,AlphaBeta,28,7.4328,0.000022,0.530878
2026-04-21_2347,Random,AlphaBeta,46,0,AlphaBeta,Random,blue,AlphaBeta,21,3.8128,0.346582,0.000021
