run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-17_0617,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,24,81.3948,0.000034,6.782847
2026-04-17_0617,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,25,73.7315,5.671615,0.000033
2026-04-17_0617,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,24,94.1842,0.000040,7.848626
2026-04-17_0617,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,23,62.5686,5.213995,0.000042
2026-04-17_0617,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,24,86.0619,0.000043,7.171760
2026-04-17_0617,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,21,61.7789,5.616214,0.000042
2026-04-17_0617,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,24,86.9181,0.000045,7.243108
2026-04-17_0617,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,21,61.6728,5.606569,0.000044
2026-04-17_0617,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,22,89.8472,0.000044,8.167862
2026-04-17_0617,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,25,65.8013,5.061582,0.000045
2026-04-17_0617,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,22,80.3908,0.000043,7.308187
2026-04-17_0617,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,21,64.3722,5.851959,0.000042
2026-04-17_0617,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,24,91.6156,0.000044,7.634568
2026-04-17_0617,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,23,63.4223,5.285139,0.000044
2026-04-17_0617,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,22,82.1557,0.000042,7.468643
2026-04-17_0617,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,23,57.6735,4.806070,0.000044
2026-04-17_0617,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,22,72.7866,0.000044,6.616900
2026-04-17_0617,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,21,70.5725,6.415625,0.000044
2026-04-17_0617,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,22,82.3864,0.000045,7.489607
2026-04-17_0617,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,23,57.5963,4.799635,0.000045
2026-04-17_0617,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,22,91.1926,0.000043,8.290168
2026-04-17_0617,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,23,59.6916,4.974251,0.000044
