run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-20_0810,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,22,6.4792,0.000031,0.588968
2026-04-20_0810,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,23,5.4781,0.456474,0.000022
2026-04-20_0810,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,22,5.7225,0.000021,0.520191
2026-04-20_0810,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,21,4.2051,0.382255,0.000020
2026-04-20_0810,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,26,6.9769,0.000022,0.536643
2026-04-20_0810,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,21,4.2820,0.389244,0.000021
2026-04-20_0810,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,24,6.7417,0.000021,0.561767
2026-04-20_0810,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,23,4.5078,0.375615,0.000021
2026-04-20_0810,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,22,5.5200,0.000024,0.501773
2026-04-20_0810,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,25,4.2670,0.328205,0.000021
2026-04-20_0810,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,24,4.5831,0.000021,0.381888
2026-04-20_0810,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,25,5.2221,0.401669,0.000021
2026-04-20_0810,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,24,6.4850,0.000022,0.540376
2026-04-20_0810,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,23,5.1018,0.425119,0.000021
2026-04-20_0810,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,22,4.8938,0.000021,0.444851
2026-04-20_0810,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,21,3.8366,0.348750,0.000022
2026-04-20_0810,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,24,5.7230,0.000024,0.476875
2026-04-20_0810,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,23,4.7222,0.393485,0.000023
2026-04-20_0810,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,30,8.3913,0.000021,0.559377
2026-04-20_0810,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,21,3.9143,0.355812,0.000022
2026-04-20_0810,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,24,5.6863,0.000021,0.473820
2026-04-20_0810,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,23,4.6559,0.387959,0.000021
2026-04-20_0810,Random,AlphaBeta,23,1,Random,AlphaBeta,red,AlphaBeta,22,6.1784,0.000022,0.561626
2026-04-20_0810,Random,AlphaBeta,24,0,AlphaBeta,Random,blue,AlphaBeta,21,3.3638,0.305768,0.000021
2026-04-20_0810,Random,AlphaBeta,25,1,Random,AlphaBeta,red,AlphaBeta,24,6.2817,0.000022,0.523433
2026-04-20_0810,Random,AlphaBeta,26,0,AlphaBeta,Random,blue,AlphaBeta,23,5.3087,0.442358,0.000022
2026-04-20_0810,Random,AlphaBeta,27,1,Random,AlphaBeta,red,AlphaBeta,22,5.4852,0.000023,0.498609
2026-04-20_0810,Random,AlphaBeta,28,0,AlphaBeta,Random,blue,AlphaBeta,21,3.8673,0.351540,0.000022
2026-04-20_0810,Random,AlphaBeta,29,1,Random,AlphaBeta,red,AlphaBeta,22,6.2182,0.000023,0.565250
2026-04-20_0810,Random,AlphaBeta,30,0,AlphaBeta,Random,blue,AlphaBeta,23,4.5748,0.381197,0.000023
2026-04-20_0810,Random,AlphaBeta,31,1,Random,AlphaBeta,red,AlphaBeta,22,5.4232,0.000024,0.492971
2026-04-20_0810,Random,AlphaBeta,32,0,AlphaBeta,Random,blue,AlphaBeta,23,4.2183,0.351496,0.000024
2026-04-20_0810,Random,AlphaBeta,33,1,Random,AlphaBeta,red,AlphaBeta,22,6.0406,0.000026,0.549094
2026-04-20_0810,Random,AlphaBeta,34,0,AlphaBeta,Random,blue,AlphaBeta,21,4.6056,0.418654,0.000032
2026-04-20_0810,Random,AlphaBeta,35,1,Random,AlphaBeta,red,AlphaBeta,24,5.9123,0.000022,0.492651
2026-04-20_0810,Random,AlphaBeta,36,0,AlphaBeta,Random,blue,AlphaBeta,23,4.5011,0.375066,0.000021
2026-04-20_0810,Random,AlphaBeta,37,1,Random,AlphaBeta,red,AlphaBeta,22,5.9772,0.000022,0.543343
2026-04-20_0810,Random,AlphaBeta,38,0,AlphaBeta,Random,blue,AlphaBeta,21,3.8971,0.354246,0.000022
2026-04-20_0810,Random,AlphaBeta,39,1,Random,AlphaBeta,red,AlphaBeta,24,5.6460,0.000022,0.470463
2026-04-20_0810,Random,AlphaBeta,40,0,AlphaBeta,Random,blue,AlphaBeta,27,4.4033,0.314495,0.000021
2026-04-20_0810,Random,AlphaBeta,41,1,Random,AlphaBeta,red,AlphaBeta,22,5.8566,0.000022,0.532379
2026-04-20_0810,Random,AlphaBeta,42,0,AlphaBeta,Random,blue,AlphaBeta,21,3.8318,0.348310,0.000021
2026-04-20_0810,Random,AlphaBeta,43,1,Random,AlphaBeta,red,AlphaBeta,22,5.9444,0.000022,0.540360
