run_timestamp,name_a,name_b,game_index,a_is_blue,winner_name,total_moves,total_time,avg_time_blue,avg_time_red,sims,time_per_move
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,39,1,claude_opus_4_7_xhigh,44,14.3293,0.340968,0.310347,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,40,0,AlphaBeta,24,10.8696,0.416327,0.489446,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,41,1,AlphaBeta,33,13.8624,0.381884,0.460630,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,42,0,claude_opus_4_7_xhigh,55,24.6040,0.392047,0.504663,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,43,1,claude_opus_4_7_xhigh,40,16.8700,0.433385,0.410094,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,44,0,AlphaBeta,22,9.6114,0.413997,0.459742,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,45,1,AlphaBeta,49,15.7479,0.297242,0.346515,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,46,0,AlphaBeta,22,10.1443,0.415502,0.506683,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,47,1,AlphaBeta,25,10.0818,0.355517,0.454989,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,48,0,AlphaBeta,26,10.9820,0.419872,0.424874,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,49,1,claude_opus_4_7_xhigh,44,11.8159,0.308815,0.228257,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,50,0,claude_opus_4_7_xhigh,39,17.5671,0.397122,0.506535,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,1,1,AlphaBeta,37,12.4211,0.314443,0.358139,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,2,0,AlphaBeta,22,11.3212,0.505011,0.524174,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,3,1,AlphaBeta,29,10.0877,0.336244,0.360278,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,4,0,AlphaBeta,38,17.7733,0.456523,0.478892,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,5,1,AlphaBeta,23,10.5096,0.438185,0.477381,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,6,0,AlphaBeta,36,14.1180,0.320029,0.464287,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,7,1,AlphaBeta,21,8.6379,0.362161,0.465402,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,8,0,AlphaBeta,42,17.5305,0.394985,0.439780,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,9,1,AlphaBeta,21,8.4812,0.348050,0.465248,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,10,0,AlphaBeta,24,13.6820,0.534786,0.605367,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,11,1,AlphaBeta,27,12.0757,0.423350,0.472971,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,12,0,AlphaBeta,24,13.3136,0.525764,0.583681,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,13,1,AlphaBeta,21,9.4382,0.428064,0.472940,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,14,0,AlphaBeta,24,11.7634,0.512608,0.467658,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,15,1,AlphaBeta,21,9.3398,0.428687,0.462413,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,16,0,AlphaBeta,24,11.5622,0.495599,0.467906,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,17,1,AlphaBeta,23,9.1421,0.339944,0.460241,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,18,0,AlphaBeta,22,11.4809,0.513843,0.529856,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,19,1,AlphaBeta,23,8.4553,0.288190,0.454263,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,20,0,AlphaBeta,22,10.1840,0.490758,0.435042,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,21,1,AlphaBeta,23,9.6508,0.366676,0.477323,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,22,0,AlphaBeta,22,10.4894,0.512125,0.441443,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,23,1,AlphaBeta,31,12.3160,0.382630,0.412910,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,24,0,AlphaBeta,22,11.0656,0.522468,0.483479,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,25,1,AlphaBeta,31,12.7843,0.438907,0.384102,600,0.5
