run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-23_0325,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,24,7.0608,0.000032,0.588345
2026-04-23_0325,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,21,4.3843,0.398537,0.000025
2026-04-23_0325,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,22,5.7001,0.000022,0.518147
2026-04-23_0325,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,21,3.7157,0.337760,0.000022
2026-04-23_0325,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,22,6.1641,0.000022,0.560330
2026-04-23_0325,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,23,4.7003,0.391663,0.000021
2026-04-23_0325,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,22,5.5940,0.000021,0.508504
2026-04-23_0325,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,25,4.6799,0.359960,0.000022
2026-04-23_0325,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,22,5.6640,0.000024,0.514864
2026-04-23_0325,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,23,4.6202,0.384984,0.000022
2026-04-23_0325,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,22,5.8745,0.000022,0.534002
2026-04-23_0325,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,21,3.9320,0.357424,0.000022
2026-04-23_0325,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,22,6.4968,0.000023,0.590572
2026-04-23_0325,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,21,4.6040,0.418512,0.000023
2026-04-23_0325,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,22,5.8526,0.000024,0.532008
2026-04-23_0325,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,23,4.6022,0.383479,0.000024
2026-04-23_0325,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,22,6.1947,0.000025,0.563107
2026-04-23_0325,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,25,4.8209,0.370802,0.000025
2026-04-23_0325,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,22,5.4028,0.000021,0.491121
2026-04-23_0325,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,25,5.1772,0.398216,0.000022
2026-04-23_0325,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,22,5.8733,0.000023,0.533896
2026-04-23_0325,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,23,4.0441,0.336974,0.000021
2026-04-23_0325,Random,AlphaBeta,23,1,Random,AlphaBeta,red,AlphaBeta,22,5.4973,0.000022,0.499713
2026-04-23_0325,Random,AlphaBeta,24,0,AlphaBeta,Random,blue,AlphaBeta,21,3.9266,0.356934,0.000021
2026-04-23_0325,Random,AlphaBeta,25,1,Random,AlphaBeta,red,AlphaBeta,22,5.8346,0.000022,0.530377
2026-04-23_0325,Random,AlphaBeta,26,0,AlphaBeta,Random,blue,AlphaBeta,21,3.7823,0.343819,0.000022
2026-04-23_0325,Random,AlphaBeta,27,1,Random,AlphaBeta,red,AlphaBeta,24,5.7677,0.000021,0.480603
2026-04-23_0325,Random,AlphaBeta,28,0,AlphaBeta,Random,blue,AlphaBeta,23,4.2597,0.354945,0.000022
