run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-23_0637,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,22,6.3690,0.000032,0.578946
2026-04-23_0637,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,21,4.8918,0.444675,0.000022
2026-04-23_0637,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,28,7.2964,0.000022,0.521137
2026-04-23_0637,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,23,4.2056,0.350439,0.000022
2026-04-23_0637,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,22,5.5044,0.000021,0.500360
2026-04-23_0637,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,21,3.7872,0.344265,0.000021
2026-04-23_0637,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,26,6.2338,0.000021,0.479488
2026-04-23_0637,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,23,3.9699,0.330794,0.000021
2026-04-23_0637,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,22,6.0373,0.000024,0.548803
2026-04-23_0637,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,21,4.9152,0.446801,0.000021
2026-04-23_0637,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,22,4.9555,0.000021,0.450463
2026-04-23_0637,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,23,4.2302,0.352485,0.000021
2026-04-23_0637,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,22,6.1330,0.000022,0.557507
2026-04-23_0637,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,25,4.6331,0.356361,0.000021
2026-04-23_0637,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,22,4.1458,0.000021,0.376857
2026-04-23_0637,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,21,5.2187,0.474385,0.000022
2026-04-23_0637,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,22,6.3396,0.000022,0.576286
2026-04-23_0637,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,21,4.1608,0.378221,0.000024
2026-04-23_0637,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,22,5.8797,0.000021,0.534481
2026-04-23_0637,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,23,4.1784,0.348164,0.000022
2026-04-23_0637,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,24,7.0553,0.000021,0.587899
2026-04-23_0637,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,21,4.4018,0.400126,0.000022
2026-04-23_0637,Random,AlphaBeta,23,1,Random,AlphaBeta,red,AlphaBeta,24,6.3181,0.000022,0.526464
2026-04-23_0637,Random,AlphaBeta,24,0,AlphaBeta,Random,blue,AlphaBeta,25,4.4205,0.340009,0.000021
