run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-11_1219,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,24,0.1347,0.000028,0.011184
2026-04-11_1219,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0189,0.001547,0.000015
2026-04-11_1219,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,24,0.0180,0.000015,0.001477
2026-04-11_1219,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0172,0.001415,0.000015
2026-04-11_1219,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,24,0.0204,0.000014,0.001670
2026-04-11_1219,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0211,0.001893,0.000016
2026-04-11_1219,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,24,0.0197,0.000015,0.001617
2026-04-11_1219,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0171,0.001533,0.000015
2026-04-11_1219,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,22,0.0159,0.000015,0.001421
2026-04-11_1219,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0181,0.001618,0.000015
2026-04-11_1219,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,24,0.0200,0.000015,0.001639
2026-04-11_1219,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0169,0.001517,0.000015
2026-04-11_1219,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,22,0.0212,0.000015,0.001896
2026-04-11_1219,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0167,0.001490,0.000015
2026-04-11_1219,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,26,0.0179,0.000015,0.001355
2026-04-11_1219,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0178,0.001462,0.000015
2026-04-11_1219,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,22,0.0163,0.000014,0.001454
2026-04-11_1219,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0184,0.001393,0.000014
2026-04-11_1219,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,22,0.0171,0.000014,0.001533
2026-04-11_1219,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0202,0.001808,0.000015
2026-04-11_1219,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,26,0.0225,0.000014,0.001704
2026-04-11_1219,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0168,0.001380,0.000015
2026-04-11_1219,Random,AlphaBeta,23,1,Random,AlphaBeta,red,AlphaBeta,28,0.0194,0.000015,0.001359
2026-04-11_1219,Random,AlphaBeta,24,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0214,0.001619,0.000015
