run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-12_0609,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,22,0.1361,0.000029,0.012330
2026-04-12_0609,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0169,0.001508,0.000015
2026-04-12_0609,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,22,0.0157,0.000015,0.001406
2026-04-12_0609,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0171,0.001402,0.000015
2026-04-12_0609,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,22,0.0154,0.000015,0.001376
2026-04-12_0609,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0196,0.001608,0.000015
2026-04-12_0609,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,28,0.0285,0.000015,0.002001
2026-04-12_0609,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0187,0.001414,0.000015
2026-04-12_0609,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,24,0.0170,0.000015,0.001389
2026-04-12_0609,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,27,0.0195,0.001368,0.000015
2026-04-12_0609,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,24,0.0210,0.000014,0.001724
2026-04-12_0609,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0164,0.001471,0.000015
2026-04-12_0609,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,24,0.0180,0.000014,0.001478
2026-04-12_0609,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0181,0.001367,0.000014
2026-04-12_0609,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,22,0.0162,0.000014,0.001447
2026-04-12_0609,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0154,0.001377,0.000014
2026-04-12_0609,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,22,0.0218,0.000015,0.001952
2026-04-12_0609,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0202,0.001529,0.000015
2026-04-12_0609,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,22,0.0174,0.000014,0.001554
2026-04-12_0609,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,27,0.0212,0.001487,0.000016
2026-04-12_0609,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,24,0.0168,0.000014,0.001377
2026-04-12_0609,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0154,0.001380,0.000015
2026-04-12_0609,Random,AlphaBeta,23,1,Random,AlphaBeta,red,AlphaBeta,24,0.0218,0.000014,0.001792
2026-04-12_0609,Random,AlphaBeta,24,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0163,0.001457,0.000015
2026-04-12_0609,Random,AlphaBeta,25,1,Random,AlphaBeta,red,AlphaBeta,22,0.0181,0.000014,0.001619
2026-04-12_0609,Random,AlphaBeta,26,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0187,0.001533,0.000014
2026-04-12_0609,Random,AlphaBeta,27,1,Random,AlphaBeta,red,AlphaBeta,22,0.0173,0.000015,0.001549
2026-04-12_0609,Random,AlphaBeta,28,0,AlphaBeta,Random,blue,AlphaBeta,27,0.0225,0.001583,0.000015
2026-04-12_0609,Random,AlphaBeta,29,1,Random,AlphaBeta,red,AlphaBeta,22,0.0179,0.000014,0.001602
2026-04-12_0609,Random,AlphaBeta,30,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0153,0.001373,0.000014
2026-04-12_0609,Random,AlphaBeta,31,1,Random,AlphaBeta,red,AlphaBeta,22,0.0197,0.000014,0.001767
2026-04-12_0609,Random,AlphaBeta,32,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0190,0.001442,0.000015
2026-04-12_0609,Random,AlphaBeta,33,1,Random,AlphaBeta,red,AlphaBeta,22,0.0154,0.000015,0.001380
2026-04-12_0609,Random,AlphaBeta,34,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0165,0.001478,0.000014
2026-04-12_0609,Random,AlphaBeta,35,1,Random,AlphaBeta,red,AlphaBeta,22,0.0168,0.000015,0.001503
2026-04-12_0609,Random,AlphaBeta,36,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0198,0.001627,0.000014
2026-04-12_0609,Random,AlphaBeta,37,1,Random,AlphaBeta,red,AlphaBeta,22,0.0155,0.000014,0.001383
2026-04-12_0609,Random,AlphaBeta,38,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0172,0.001409,0.000015
2026-04-12_0609,Random,AlphaBeta,39,1,Random,AlphaBeta,red,AlphaBeta,24,0.0170,0.000014,0.001397
2026-04-12_0609,Random,AlphaBeta,40,0,AlphaBeta,Random,blue,AlphaBeta,27,0.0194,0.001362,0.000014
2026-04-12_0609,Random,AlphaBeta,41,1,Random,AlphaBeta,red,AlphaBeta,22,0.0166,0.000014,0.001484
2026-04-12_0609,Random,AlphaBeta,42,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0182,0.001495,0.000015
2026-04-12_0609,Random,AlphaBeta,43,1,Random,AlphaBeta,red,AlphaBeta,24,0.0208,0.000015,0.001703
2026-04-12_0609,Random,AlphaBeta,44,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0166,0.001488,0.000015
2026-04-12_0609,Random,AlphaBeta,45,1,Random,AlphaBeta,red,AlphaBeta,24,0.0173,0.000014,0.001418
2026-04-12_0609,Random,AlphaBeta,46,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0210,0.001587,0.000014
2026-04-12_0609,Random,AlphaBeta,47,1,Random,AlphaBeta,red,AlphaBeta,22,0.0212,0.000015,0.001896
2026-04-12_0609,Random,AlphaBeta,48,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0190,0.001436,0.000015
2026-04-12_0609,Random,AlphaBeta,49,1,Random,AlphaBeta,red,AlphaBeta,22,0.0186,0.000014,0.001664
2026-04-12_0609,Random,AlphaBeta,50,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0173,0.001553,0.000015
2026-04-12_0609,Random,AlphaBeta,51,1,Random,AlphaBeta,red,AlphaBeta,22,0.0200,0.000014,0.001793
2026-04-12_0609,Random,AlphaBeta,52,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0154,0.001376,0.000015
2026-04-12_0609,Random,AlphaBeta,53,1,Random,AlphaBeta,red,AlphaBeta,22,0.0168,0.000014,0.001507
2026-04-12_0609,Random,AlphaBeta,54,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0190,0.001556,0.000014
2026-04-12_0609,Random,AlphaBeta,55,1,Random,AlphaBeta,red,AlphaBeta,22,0.0157,0.000014,0.001404
2026-04-12_0609,Random,AlphaBeta,56,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0186,0.001411,0.000015
2026-04-12_0609,Random,AlphaBeta,57,1,Random,AlphaBeta,red,AlphaBeta,24,0.0173,0.000014,0.001418
2026-04-12_0609,Random,AlphaBeta,58,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0197,0.001493,0.000015
2026-04-12_0609,Random,AlphaBeta,59,1,Random,AlphaBeta,red,AlphaBeta,24,0.0199,0.000014,0.001634
2026-04-12_0609,Random,AlphaBeta,60,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0181,0.001369,0.000015
2026-04-12_0609,Random,AlphaBeta,61,1,Random,AlphaBeta,red,AlphaBeta,22,0.0164,0.000014,0.001462
2026-04-12_0609,Random,AlphaBeta,62,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0154,0.001381,0.000014
2026-04-12_0609,Random,AlphaBeta,63,1,Random,AlphaBeta,red,AlphaBeta,22,0.0173,0.000014,0.001543
2026-04-12_0609,Random,AlphaBeta,64,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0154,0.001379,0.000014
2026-04-12_0609,Random,AlphaBeta,65,1,Random,AlphaBeta,red,AlphaBeta,24,0.0211,0.000014,0.001730
2026-04-12_0609,Random,AlphaBeta,66,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0155,0.001384,0.000015
2026-04-12_0609,Random,AlphaBeta,67,1,Random,AlphaBeta,red,AlphaBeta,24,0.0168,0.000014,0.001377
