run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,avg_time_blue,avg_time_red
2026-04-23_1008,model_iter_0001,model_iter_0002,1,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,31,0.118010,0.121008
2026-04-23_1008,model_iter_0001,model_iter_0002,2,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,31,0.124670,0.128689
2026-04-23_1008,model_iter_0001,model_iter_0002,3,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,31,0.130766,0.135933
2026-04-23_1008,model_iter_0001,model_iter_0002,4,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,31,0.131218,0.136270
2026-04-23_1008,model_iter_0001,model_iter_0002,5,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,31,0.132918,0.134825
2026-04-23_1008,model_iter_0001,model_iter_0002,6,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,31,0.130117,0.135083
2026-04-23_1008,model_iter_0001,model_iter_0002,7,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,31,0.129697,0.135193
2026-04-23_1008,model_iter_0001,model_iter_0002,8,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,31,0.130180,0.135427
2026-04-23_1008,model_iter_0001,model_iter_0002,9,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,31,0.129649,0.134901
2026-04-23_1008,model_iter_0001,model_iter_0002,10,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,31,0.130280,0.135340
2026-04-23_1008,model_iter_0001,model_iter_0003,1,1,model_iter_0001,model_iter_0003,blue,model_iter_0001,27,0.126017,0.134323
2026-04-23_1008,model_iter_0001,model_iter_0003,2,0,model_iter_0003,model_iter_0001,red,model_iter_0001,60,0.134445,0.129466
2026-04-23_1008,model_iter_0001,model_iter_0003,3,1,model_iter_0001,model_iter_0003,blue,model_iter_0001,27,0.122537,0.135583
2026-04-23_1008,model_iter_0001,model_iter_0003,4,0,model_iter_0003,model_iter_0001,red,model_iter_0001,60,0.134890,0.130082
2026-04-23_1008,model_iter_0001,model_iter_0003,5,1,model_iter_0001,model_iter_0003,blue,model_iter_0001,27,0.123015,0.139477
2026-04-23_1008,model_iter_0001,model_iter_0003,6,0,model_iter_0003,model_iter_0001,red,model_iter_0001,60,0.135526,0.130230
2026-04-23_1008,model_iter_0001,model_iter_0003,7,1,model_iter_0001,model_iter_0003,blue,model_iter_0001,27,0.122949,0.135411
2026-04-23_1008,model_iter_0001,model_iter_0003,8,0,model_iter_0003,model_iter_0001,red,model_iter_0001,60,0.135142,0.130486
2026-04-23_1008,model_iter_0001,model_iter_0003,9,1,model_iter_0001,model_iter_0003,blue,model_iter_0001,27,0.122672,0.135325
2026-04-23_1008,model_iter_0001,model_iter_0003,10,0,model_iter_0003,model_iter_0001,red,model_iter_0001,60,0.137033,0.130007
2026-04-23_1008,model_iter_0001,model_iter_0004,1,1,model_iter_0001,model_iter_0004,blue,model_iter_0001,21,0.128747,0.135027
2026-04-23_1008,model_iter_0001,model_iter_0004,2,0,model_iter_0004,model_iter_0001,blue,model_iter_0004,37,0.128782,0.135405
2026-04-23_1008,model_iter_0001,model_iter_0004,3,1,model_iter_0001,model_iter_0004,blue,model_iter_0001,21,0.129394,0.135407
2026-04-23_1008,model_iter_0001,model_iter_0004,4,0,model_iter_0004,model_iter_0001,blue,model_iter_0004,37,0.128768,0.135407
2026-04-23_1008,model_iter_0001,model_iter_0004,5,1,model_iter_0001,model_iter_0004,blue,model_iter_0001,21,0.128945,0.135109
2026-04-23_1008,model_iter_0001,model_iter_0004,6,0,model_iter_0004,model_iter_0001,blue,model_iter_0004,37,0.130162,0.139903
2026-04-23_1008,model_iter_0001,model_iter_0004,7,1,model_iter_0001,model_iter_0004,blue,model_iter_0001,21,0.129086,0.135330
2026-04-23_1008,model_iter_0001,model_iter_0004,8,0,model_iter_0004,model_iter_0001,blue,model_iter_0004,37,0.128937,0.135603
2026-04-23_1008,model_iter_0001,model_iter_0004,9,1,model_iter_0001,model_iter_0004,blue,model_iter_0001,21,0.129199,0.135450
2026-04-23_1008,model_iter_0001,model_iter_0004,10,0,model_iter_0004,model_iter_0001,blue,model_iter_0004,37,0.129215,0.135840
2026-04-23_1008,model_iter_0001,model_iter_0005,1,1,model_iter_0001,model_iter_0005,red,model_iter_0005,46,0.135425,0.129478
2026-04-23_1008,model_iter_0001,model_iter_0005,2,0,model_iter_0005,model_iter_0001,blue,model_iter_0005,27,0.125896,0.139243
2026-04-23_1008,model_iter_0001,model_iter_0005,3,1,model_iter_0001,model_iter_0005,red,model_iter_0005,46,0.135132,0.129178
2026-04-23_1008,model_iter_0001,model_iter_0005,4,0,model_iter_0005,model_iter_0001,blue,model_iter_0005,27,0.126267,0.135343
2026-04-23_1008,model_iter_0001,model_iter_0005,5,1,model_iter_0001,model_iter_0005,red,model_iter_0005,46,0.135412,0.129168
2026-04-23_1008,model_iter_0001,model_iter_0005,6,0,model_iter_0005,model_iter_0001,blue,model_iter_0005,27,0.126123,0.135297
2026-04-23_1008,model_iter_0001,model_iter_0005,7,1,model_iter_0001,model_iter_0005,red,model_iter_0005,46,0.135340,0.132102
2026-04-23_1008,model_iter_0001,model_iter_0005,8,0,model_iter_0005,model_iter_0001,blue,model_iter_0005,27,0.126202,0.135294
2026-04-23_1008,model_iter_0001,model_iter_0005,9,1,model_iter_0001,model_iter_0005,red,model_iter_0005,46,0.136127,0.129946
2026-04-23_1008,model_iter_0001,model_iter_0005,10,0,model_iter_0005,model_iter_0001,blue,model_iter_0005,27,0.126279,0.135774
2026-04-23_1008,model_iter_0001,model_iter_0006,1,1,model_iter_0001,model_iter_0006,blue,model_iter_0001,23,0.125653,0.135663
