run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,avg_time_blue,avg_time_red
2026-04-21_2207,best_model,best_model18_04_2,1,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.078681,0.061271
2026-04-21_2207,best_model,best_model18_04_2,2,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.066814,0.062808
2026-04-21_2207,best_model,best_model18_04_2,3,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.067635,0.062666
2026-04-21_2207,best_model,best_model18_04_2,4,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.063279,0.066539
2026-04-21_2207,best_model,best_model18_04_2,5,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.070419,0.065803
2026-04-21_2207,best_model,best_model18_04_2,6,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.070036,0.068323
2026-04-21_2207,best_model,best_model18_04_2,7,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.061241,0.055924
2026-04-21_2207,best_model,best_model18_04_2,8,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.056974,0.061682
2026-04-21_2207,best_model,best_model18_04_2,9,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.057188,0.057778
2026-04-21_2207,best_model,best_model18_04_2,10,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.062803,0.058709
2026-04-21_2207,best_model,best_model18_04_2,11,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.057336,0.059726
2026-04-21_2207,best_model,best_model18_04_2,12,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.060131,0.059934
2026-04-21_2207,best_model,best_model18_04_2,13,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.063492,0.056939
2026-04-21_2207,best_model,best_model18_04_2,14,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.061994,0.058595
2026-04-21_2207,best_model,best_model18_04_2,15,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.061875,0.058352
2026-04-21_2207,best_model,best_model18_04_2,16,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.064669,0.070419
2026-04-21_2207,best_model,best_model18_04_2,17,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.066120,0.064205
2026-04-21_2207,best_model,best_model18_04_2,18,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.068098,0.063707
2026-04-21_2207,best_model,best_model18_04_2,19,1,best_model,best_model18_04_2,red,best_model18_04_2,40,0.063264,0.059289
2026-04-21_2207,best_model,best_model18_04_2,20,0,best_model18_04_2,best_model,blue,best_model18_04_2,23,0.064784,0.063983
2026-04-21_2207,best_model,best_model_08_04,1,1,best_model,best_model_08_04,blue,best_model,21,0.058915,0.069659
2026-04-21_2207,best_model,best_model_08_04,2,0,best_model_08_04,best_model,red,best_model,24,0.064966,0.064346
2026-04-21_2207,best_model,best_model_08_04,3,1,best_model,best_model_08_04,blue,best_model,21,0.059945,0.066690
2026-04-21_2207,best_model,best_model_08_04,4,0,best_model_08_04,best_model,red,best_model,24,0.067967,0.065417
2026-04-21_2207,best_model,best_model_08_04,5,1,best_model,best_model_08_04,blue,best_model,21,0.062099,0.061259
2026-04-21_2207,best_model,best_model_08_04,6,0,best_model_08_04,best_model,red,best_model,24,0.065024,0.056624
2026-04-21_2207,best_model,best_model_08_04,7,1,best_model,best_model_08_04,blue,best_model,21,0.053958,0.061975
2026-04-21_2207,best_model,best_model_08_04,8,0,best_model_08_04,best_model,red,best_model,24,0.065568,0.054418
2026-04-21_2207,best_model,best_model_08_04,9,1,best_model,best_model_08_04,blue,best_model,21,0.054067,0.057677
2026-04-21_2207,best_model,best_model_08_04,10,0,best_model_08_04,best_model,red,best_model,24,0.063024,0.052934
2026-04-21_2207,best_model,best_model_08_04,11,1,best_model,best_model_08_04,blue,best_model,21,0.059259,0.064094
2026-04-21_2207,best_model,best_model_08_04,12,0,best_model_08_04,best_model,red,best_model,24,0.060477,0.059488
2026-04-21_2207,best_model,best_model_08_04,13,1,best_model,best_model_08_04,blue,best_model,21,0.056370,0.061801
2026-04-21_2207,best_model,best_model_08_04,14,0,best_model_08_04,best_model,red,best_model,24,0.060211,0.052366
2026-04-21_2207,best_model,best_model_08_04,15,1,best_model,best_model_08_04,blue,best_model,21,0.057733,0.063022
2026-04-21_2207,best_model,best_model_08_04,16,0,best_model_08_04,best_model,red,best_model,24,0.063755,0.055845
2026-04-21_2207,best_model,best_model_08_04,17,1,best_model,best_model_08_04,blue,best_model,21,0.060282,0.059129
2026-04-21_2207,best_model,best_model_08_04,18,0,best_model_08_04,best_model,red,best_model,24,0.063003,0.060972
2026-04-21_2207,best_model,best_model_08_04,19,1,best_model,best_model_08_04,blue,best_model,21,0.060767,0.066678
2026-04-21_2207,best_model,best_model_08_04,20,0,best_model_08_04,best_model,red,best_model,24,0.063945,0.057508
2026-04-21_2207,best_model,best_model_17_04,1,1,best_model,best_model_17_04,blue,best_model,21,0.064981,0.064266
2026-04-21_2207,best_model,best_model_17_04,2,0,best_model_17_04,best_model,blue,best_model_17_04,27,0.065287,0.065320
2026-04-21_2207,best_model,best_model_17_04,3,1,best_model,best_model_17_04,blue,best_model,21,0.059960,0.065789
2026-04-21_2207,best_model,best_model_17_04,4,0,best_model_17_04,best_model,blue,best_model_17_04,27,0.065157,0.065158
2026-04-21_2207,best_model,best_model_17_04,5,1,best_model,best_model_17_04,blue,best_model,21,0.059544,0.062886
2026-04-21_2207,best_model,best_model_17_04,6,0,best_model_17_04,best_model,blue,best_model_17_04,27,0.060747,0.067089
2026-04-21_2207,best_model,best_model_17_04,7,1,best_model,best_model_17_04,blue,best_model,21,0.063191,0.069020
2026-04-21_2207,best_model,best_model_17_04,8,0,best_model_17_04,best_model,blue,best_model_17_04,27,0.065072,0.065338
2026-04-21_2207,best_model,best_model_17_04,9,1,best_model,best_model_17_04,blue,best_model,21,0.059734,0.057071
2026-04-21_2207,best_model,best_model_17_04,10,0,best_model_17_04,best_model,blue,best_model_17_04,27,0.054564,0.059050
2026-04-21_2207,best_model,best_model_17_04,11,1,best_model,best_model_17_04,blue,best_model,21,0.057281,0.059913
2026-04-21_2207,best_model,best_model_17_04,12,0,best_model_17_04,best_model,blue,best_model_17_04,27,0.057218,0.059430
2026-04-21_2207,best_model,best_model_17_04,13,1,best_model,best_model_17_04,blue,best_model,21,0.060731,0.061392
2026-04-21_2207,best_model,best_model_17_04,14,0,best_model_17_04,best_model,blue,best_model_17_04,27,0.057984,0.063572
2026-04-21_2207,best_model,best_model_17_04,15,1,best_model,best_model_17_04,blue,best_model,21,0.057203,0.063427
2026-04-21_2207,best_model,best_model_17_04,16,0,best_model_17_04,best_model,blue,best_model_17_04,27,0.058940,0.056788
2026-04-21_2207,best_model,best_model_17_04,17,1,best_model,best_model_17_04,blue,best_model,21,0.055371,0.058680
