run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,avg_time_blue,avg_time_red
2026-04-25_0419,best_model_17_04,best_model_18_04,1,1,best_model_17_04,best_model_18_04,red,best_model_18_04,22,0.089147,0.061759
2026-04-25_0419,best_model_17_04,best_model_18_04,2,0,best_model_18_04,best_model_17_04,blue,best_model_18_04,29,0.069178,0.066917
2026-04-25_0419,best_model_17_04,best_model_18_04,3,1,best_model_17_04,best_model_18_04,red,best_model_18_04,22,0.067612,0.061791
2026-04-25_0419,best_model_17_04,best_model_18_04,4,0,best_model_18_04,best_model_17_04,blue,best_model_18_04,29,0.067212,0.066493
2026-04-25_0419,best_model_17_04,best_model_18_04,5,1,best_model_17_04,best_model_18_04,red,best_model_18_04,22,0.068259,0.064946
2026-04-25_0419,best_model_17_04,best_model_18_04,6,0,best_model_18_04,best_model_17_04,blue,best_model_18_04,29,0.065538,0.069801
2026-04-25_0419,best_model_17_04,best_model_18_04,7,1,best_model_17_04,best_model_18_04,red,best_model_18_04,22,0.068230,0.064583
2026-04-25_0419,best_model_17_04,best_model_18_04,8,0,best_model_18_04,best_model_17_04,blue,best_model_18_04,29,0.068060,0.067342
2026-04-25_0419,best_model_17_04,best_model_18_04,9,1,best_model_17_04,best_model_18_04,red,best_model_18_04,22,0.068978,0.065432
2026-04-25_0419,best_model_17_04,best_model_18_04,10,0,best_model_18_04,best_model_17_04,blue,best_model_18_04,29,0.066006,0.069518
2026-04-25_0419,best_model_17_04,best_model_18_04,11,1,best_model_17_04,best_model_18_04,red,best_model_18_04,22,0.069127,0.066231
2026-04-25_0419,best_model_17_04,best_model_18_04,12,0,best_model_18_04,best_model_17_04,blue,best_model_18_04,29,0.069207,0.073846
2026-04-25_0419,best_model_17_04,best_model_18_04,13,1,best_model_17_04,best_model_18_04,red,best_model_18_04,22,0.072736,0.066900
2026-04-25_0419,best_model_17_04,best_model_18_04,14,0,best_model_18_04,best_model_17_04,blue,best_model_18_04,29,0.064429,0.068106
2026-04-25_0419,best_model_17_04,best_model_18_04,15,1,best_model_17_04,best_model_18_04,red,best_model_18_04,22,0.070469,0.061056
