run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,avg_time_blue,avg_time_red
2026-04-21_2234,best_model18_04_2,best_model_08_04,1,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.156798,0.141486
2026-04-21_2234,best_model18_04_2,best_model_08_04,2,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.143335,0.134898
2026-04-21_2234,best_model18_04_2,best_model_08_04,3,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.133895,0.150253
2026-04-21_2234,best_model18_04_2,best_model_08_04,4,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.143978,0.133063
2026-04-21_2234,best_model18_04_2,best_model_08_04,5,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.139986,0.143227
2026-04-21_2234,best_model18_04_2,best_model_08_04,6,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.140822,0.135562
2026-04-21_2234,best_model18_04_2,best_model_08_04,7,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.136249,0.146550
2026-04-21_2234,best_model18_04_2,best_model_08_04,8,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.141994,0.139204
2026-04-21_2234,best_model18_04_2,best_model_08_04,9,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.137217,0.144496
2026-04-21_2234,best_model18_04_2,best_model_08_04,10,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.143930,0.135941
2026-04-21_2234,best_model18_04_2,best_model_08_04,11,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.136034,0.144878
2026-04-21_2234,best_model18_04_2,best_model_08_04,12,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.142863,0.131765
2026-04-21_2234,best_model18_04_2,best_model_08_04,13,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.132752,0.150097
2026-04-21_2234,best_model18_04_2,best_model_08_04,14,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.146522,0.131923
2026-04-21_2234,best_model18_04_2,best_model_08_04,15,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.136522,0.142591
2026-04-21_2234,best_model18_04_2,best_model_08_04,16,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.144061,0.135620
2026-04-21_2234,best_model18_04_2,best_model_08_04,17,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.133498,0.147270
2026-04-21_2234,best_model18_04_2,best_model_08_04,18,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.141258,0.139424
2026-04-21_2234,best_model18_04_2,best_model_08_04,19,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.140739,0.143556
2026-04-21_2234,best_model18_04_2,best_model_08_04,20,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.143109,0.137477
2026-04-21_2234,best_model18_04_2,best_model_08_04,21,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.138884,0.141858
2026-04-21_2234,best_model18_04_2,best_model_08_04,22,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.142554,0.134414
2026-04-21_2234,best_model18_04_2,best_model_08_04,23,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.136159,0.141819
2026-04-21_2234,best_model18_04_2,best_model_08_04,24,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.143612,0.135231
2026-04-21_2234,best_model18_04_2,best_model_08_04,25,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.133178,0.146652
2026-04-21_2234,best_model18_04_2,best_model_08_04,26,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.147468,0.133034
2026-04-21_2234,best_model18_04_2,best_model_08_04,27,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.133107,0.151391
2026-04-21_2234,best_model18_04_2,best_model_08_04,28,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.144907,0.132921
2026-04-21_2234,best_model18_04_2,best_model_08_04,29,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.141020,0.143461
2026-04-21_2234,best_model18_04_2,best_model_08_04,30,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.144904,0.137364
2026-04-21_2234,best_model18_04_2,best_model_08_04,31,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.133873,0.148003
2026-04-21_2234,best_model18_04_2,best_model_08_04,32,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.139508,0.138083
2026-04-21_2234,best_model18_04_2,best_model_08_04,33,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.135704,0.141133
2026-04-21_2234,best_model18_04_2,best_model_08_04,34,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.142350,0.135073
2026-04-21_2234,best_model18_04_2,best_model_08_04,35,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.139812,0.142451
2026-04-21_2234,best_model18_04_2,best_model_08_04,36,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.143880,0.132603
2026-04-21_2234,best_model18_04_2,best_model_08_04,37,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.136811,0.146610
2026-04-21_2234,best_model18_04_2,best_model_08_04,38,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.144868,0.136070
2026-04-21_2234,best_model18_04_2,best_model_08_04,39,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.137805,0.143394
2026-04-21_2234,best_model18_04_2,best_model_08_04,40,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.144370,0.136188
2026-04-21_2234,best_model18_04_2,best_model_08_04,41,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.134683,0.152053
2026-04-21_2234,best_model18_04_2,best_model_08_04,42,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.143258,0.132763
2026-04-21_2234,best_model18_04_2,best_model_08_04,43,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.139009,0.141134
2026-04-21_2234,best_model18_04_2,best_model_08_04,44,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.139994,0.135133
2026-04-21_2234,best_model18_04_2,best_model_08_04,45,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.136586,0.145790
2026-04-21_2234,best_model18_04_2,best_model_08_04,46,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.141300,0.138494
2026-04-21_2234,best_model18_04_2,best_model_08_04,47,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.136595,0.143145
2026-04-21_2234,best_model18_04_2,best_model_08_04,48,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.143808,0.136319
2026-04-21_2234,best_model18_04_2,best_model_08_04,49,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.136557,0.146873
2026-04-21_2234,best_model18_04_2,best_model_08_04,50,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,24,0.144202,0.133386
2026-04-21_2234,best_model18_04_2,best_model_08_04,51,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.133927,0.151990
