run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,avg_time_blue,avg_time_red
2026-04-21_2157,best_model18_04_2,best_model_08_04,1,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.077683,0.060740
2026-04-21_2157,best_model18_04_2,best_model_08_04,2,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.063139,0.055860
2026-04-21_2157,best_model18_04_2,best_model_08_04,3,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.059438,0.067612
2026-04-21_2157,best_model18_04_2,best_model_08_04,4,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.063861,0.056929
2026-04-21_2157,best_model18_04_2,best_model_08_04,5,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.057397,0.064613
2026-04-21_2157,best_model18_04_2,best_model_08_04,6,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.062765,0.061204
2026-04-21_2157,best_model18_04_2,best_model_08_04,7,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.060228,0.061226
2026-04-21_2157,best_model18_04_2,best_model_08_04,8,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.064759,0.058137
2026-04-21_2157,best_model18_04_2,best_model_08_04,9,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.058659,0.067594
2026-04-21_2157,best_model18_04_2,best_model_08_04,10,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.065420,0.063213
2026-04-21_2157,best_model18_04_2,best_model_08_04,11,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.060238,0.068948
2026-04-21_2157,best_model18_04_2,best_model_08_04,12,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.071069,0.068641
2026-04-21_2157,best_model18_04_2,best_model_08_04,13,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.061041,0.070377
2026-04-21_2157,best_model18_04_2,best_model_08_04,14,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.061002,0.056048
2026-04-21_2157,best_model18_04_2,best_model_08_04,15,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.054212,0.062014
2026-04-21_2157,best_model18_04_2,best_model_08_04,16,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.060050,0.059548
2026-04-21_2157,best_model18_04_2,best_model_08_04,17,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.058913,0.060269
2026-04-21_2157,best_model18_04_2,best_model_08_04,18,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.061092,0.060121
2026-04-21_2157,best_model18_04_2,best_model_08_04,19,1,best_model18_04_2,best_model_08_04,blue,best_model18_04_2,21,0.055427,0.059943
2026-04-21_2157,best_model18_04_2,best_model_08_04,20,0,best_model_08_04,best_model18_04_2,red,best_model18_04_2,30,0.060855,0.055380
2026-04-21_2157,best_model18_04_2,best_model_17_04,1,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.055659,0.058498
2026-04-21_2157,best_model18_04_2,best_model_17_04,2,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.061762,0.060100
2026-04-21_2157,best_model18_04_2,best_model_17_04,3,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.060381,0.059222
2026-04-21_2157,best_model18_04_2,best_model_17_04,4,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.062870,0.065823
2026-04-21_2157,best_model18_04_2,best_model_17_04,5,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.061825,0.057195
2026-04-21_2157,best_model18_04_2,best_model_17_04,6,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.062754,0.062130
2026-04-21_2157,best_model18_04_2,best_model_17_04,7,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.059922,0.059234
2026-04-21_2157,best_model18_04_2,best_model_17_04,8,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.063029,0.065981
2026-04-21_2157,best_model18_04_2,best_model_17_04,9,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.063406,0.059621
2026-04-21_2157,best_model18_04_2,best_model_17_04,10,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.070781,0.067894
2026-04-21_2157,best_model18_04_2,best_model_17_04,11,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.064324,0.061254
2026-04-21_2157,best_model18_04_2,best_model_17_04,12,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.063845,0.061689
2026-04-21_2157,best_model18_04_2,best_model_17_04,13,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.056530,0.059500
2026-04-21_2157,best_model18_04_2,best_model_17_04,14,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.062056,0.061955
2026-04-21_2157,best_model18_04_2,best_model_17_04,15,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.055780,0.055786
2026-04-21_2157,best_model18_04_2,best_model_17_04,16,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.061012,0.058544
2026-04-21_2157,best_model18_04_2,best_model_17_04,17,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.058602,0.058672
2026-04-21_2157,best_model18_04_2,best_model_17_04,18,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.060321,0.061589
2026-04-21_2157,best_model18_04_2,best_model_17_04,19,1,best_model18_04_2,best_model_17_04,red,best_model_17_04,40,0.056929,0.058599
2026-04-21_2157,best_model18_04_2,best_model_17_04,20,0,best_model_17_04,best_model18_04_2,blue,best_model_17_04,25,0.064625,0.059790
2026-04-21_2157,best_model18_04_2,best_model_18_04,1,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.062192,0.063383
2026-04-21_2157,best_model18_04_2,best_model_18_04,2,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.059775,0.060246
2026-04-21_2157,best_model18_04_2,best_model_18_04,3,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.061011,0.063672
2026-04-21_2157,best_model18_04_2,best_model_18_04,4,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.064539,0.063919
2026-04-21_2157,best_model18_04_2,best_model_18_04,5,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.063726,0.061970
2026-04-21_2157,best_model18_04_2,best_model_18_04,6,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.060188,0.064754
2026-04-21_2157,best_model18_04_2,best_model_18_04,7,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.065241,0.066349
2026-04-21_2157,best_model18_04_2,best_model_18_04,8,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.063753,0.070709
2026-04-21_2157,best_model18_04_2,best_model_18_04,9,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.066128,0.064879
2026-04-21_2157,best_model18_04_2,best_model_18_04,10,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.055549,0.060751
2026-04-21_2157,best_model18_04_2,best_model_18_04,11,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.059771,0.057529
2026-04-21_2157,best_model18_04_2,best_model_18_04,12,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.059243,0.061238
2026-04-21_2157,best_model18_04_2,best_model_18_04,13,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.058682,0.062421
2026-04-21_2157,best_model18_04_2,best_model_18_04,14,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.060914,0.061772
2026-04-21_2157,best_model18_04_2,best_model_18_04,15,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.060331,0.062930
2026-04-21_2157,best_model18_04_2,best_model_18_04,16,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.060124,0.058724
2026-04-21_2157,best_model18_04_2,best_model_18_04,17,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.061720,0.058691
2026-04-21_2157,best_model18_04_2,best_model_18_04,18,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.057542,0.063885
2026-04-21_2157,best_model18_04_2,best_model_18_04,19,1,best_model18_04_2,best_model_18_04,blue,best_model18_04_2,31,0.062859,0.066241
2026-04-21_2157,best_model18_04_2,best_model_18_04,20,0,best_model_18_04,best_model18_04_2,blue,best_model_18_04,27,0.056987,0.064015
2026-04-21_2157,best_model_08_04,best_model_17_04,1,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.065134,0.056772
2026-04-21_2157,best_model_08_04,best_model_17_04,2,0,best_model_17_04,best_model_08_04,blue,best_model_17_04,25,0.060666,0.065529
2026-04-21_2157,best_model_08_04,best_model_17_04,3,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.062252,0.060737
2026-04-21_2157,best_model_08_04,best_model_17_04,4,0,best_model_17_04,best_model_08_04,blue,best_model_17_04,25,0.056980,0.064354
2026-04-21_2157,best_model_08_04,best_model_17_04,5,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.063108,0.061173
